filename,ref_lon,ref_lat,file_min,file_max,palette_extent,lon_min,lon_max,lat_min,lat_max,xmin,xmax,ymin,ymax
Abidjan_0to25pp.tif,-4.0487500975,5.4562500725,-0.03,0.04,0.04,-4.292916666833331,-3.7187502298333306,5.22125016616666,5.63625000016666,-477885.29736984364,-413975.3340606145,582060.0699922058,628438.853235478
Abidjan_25to50pp.tif,-4.0487500975,5.4562500725,-0.01,0.01,0.04,-4.292916666833331,-3.7187502298333306,5.22125016616666,5.63625000016666,-477885.29736984364,-413975.3340606145,582060.0699922058,628438.853235478
Abidjan_50to100pp.tif,-4.0487500975,5.4562500725,-0.01,0.01,0.04,-4.292916666833331,-3.7187502298333306,5.22125016616666,5.63625000016666,-477885.29736984364,-413975.3340606145,582060.0699922058,628438.853235478
Abidjan_gt100pp.tif,-4.0487500975,5.4562500725,0,0,0.04,-4.292916666833331,-3.7187502298333306,5.22125016616666,5.63625000016666,-477885.29736984364,-413975.3340606145,582060.0699922058,628438.853235478
Ahmedabad_0to25pp.tif,72.6687496665,23.0687501765,-0.06,0.03,0.06,71.8362499998333,72.8412495978333,21.9462506251666,23.5087500001666,7996774.7704797415,8108636.288909029,2505029.2393718036,2693660.393911174
Ahmedabad_25to50pp.tif,72.6687496665,23.0687501765,-0.01,0.02,0.06,71.8362499998333,72.8412495978333,21.9462506251666,23.5087500001666,7996774.7704797415,8108636.288909029,2505029.2393718036,2693660.393911174
Ahmedabad_50to100pp.tif,72.6687496665,23.0687501765,-0.01,0,0.06,71.8362499998333,72.8412495978333,21.9462506251666,23.5087500001666,7996774.7704797415,8108636.288909029,2505029.2393718036,2693660.393911174
Ahmedabad_gt100pp.tif,72.6687496665,23.0687501765,0,0,0.06,71.8362499998333,72.8412495978333,21.9462506251666,23.5087500001666,7996774.7704797415,8108636.288909029,2505029.2393718036,2693660.393911174
Alexandria_0to25pp.tif,29.8179164945,30.9995834655,-0.02,0.02,0.02,29.3870833331666,30.0929163841666,30.359583721833296,31.330416666833298,3271355.152547603,3349885.105038322,3549860.439435372,3675734.793165581
Alexandria_25to50pp.tif,29.8179164945,30.9995834655,-0.01,0.01,0.02,29.3870833331666,30.0929163841666,30.359583721833296,31.330416666833298,3271355.152547603,3349885.105038322,3549860.439435372,3675734.793165581
Alexandria_50to100pp.tif,29.8179164945,30.9995834655,0,0,0.02,29.3870833331666,30.0929163841666,30.359583721833296,31.330416666833298,3271355.152547603,3349885.105038322,3549860.439435372,3675734.793165581
